WEAPON,POSITIVE STATS:,,,,,NEGATIVE STATS:,,,Notes:
ack & brunt,CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN,,,
amanata,CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN,,,
amphis,CD AS RANGE or CD/RANGE AS ELEC or CC/CD/IC/DMG,,,,,EFF/SLIDE/FIN/IMP,,,
anku,CD AS RANGE or CD/RANGE AS ELEC or CC/CD/IC/DMG,,,,,EFF/SLIDE/FIN/PUNC,,,
ankyros,CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN/IMP,,,
arca titron,CD AS RANGE or CD/RANGE AS ELEC/DMG or CC/CD/IC/DMG,,,,,SLIDE/FIN/IMP,,,"(NOTE: ELEC is for melee infuence, negative EFF is harmful for heavy builds)"
argo & vel,CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN,,,
arum spinosa,CD AS RANGE or CD/RANGE AS ELEC or CC/CD/IC/DMG,,,,,EFF/SLIDE/FIN,,,
atterax,CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN,,,
azothane,CD AS RANGE or CD/RANGE AS ELEC or CC/CD/IC/DMG,,,,,EFF/SLIDE/FIN/IMP,,,
balla,CD AS RANGE or CD/RANGE AS ELEC or CD AS/DMG/DTC HEAT/TOX/COLD,,,,,EFF/SLIDE/FIN/IMP/PUNC,,,"(NOTE: you do not want IMP or PUNC with the profit taker roll""CD AS DMG/DTC"")"
bo,CD AS RANGE or CD/RANGE AS ELEC/HEAT or CD DMG CC/SC,,,,,EFF/SLIDE/FIN/IMP,,,"(NOTE: NEGATIVE IMP not wanted if you're doing a build for incarnon around the 5th EVO""FLASHING BLEED: 40% chance of slash on impact status effect"")"
boltace,CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN/PUNC,,,
broken scepter,CD AS RANGE or CD/RANGE AS ELEC or CC/CD/IC/DMG,,,,,EFF/SLIDE/FIN/IMP,,,
broken war,CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN,,,
cadus,CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN,,,
cassowar,CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN/PUNC,,,
caustacyst,CD AS RANGE or CD/RANGE AS ELEC or CC/CD/IC/DMG,,,,,EFF/SLIDE/FIN,,,
ceramic dagger,CC/CD/IC/DMG,,,,,EFF/SLIDE/FIN/PUNC,,,"(NOTE: NEGATIVE PUNC hurts for heavy attack, breakpoint of 34 IC to transform incarnon instantly)"
cerata,CC/CD/IC/DMG or CD/RANGE/AS,,,,,EFF/SLIDE/FIN,,,(NOTE: RANGE is not a good stat for use but it can sell)
cobra & crane,CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN/IMP,,,
coda motovore,CD AS RANGE or CD/RANGE AS ELEC or CC IC CD/DMG,,,,,EFF/SLIDE/FIN/PUNC/IMP,,,(NOTE: negative PUNC hurts some if you can reliablly proc it because each stack of PUNC gives 5%CC each with max stack of 5)
corufell,CD AS RANGE or CD/RANGE AS ELEC or CC IC CD/DMG,,,,,EFF/SLIDE/FIN/PUNC/IMP,,,
cronus,CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN/IMP,,,
cyath,CD AS RANGE or CD/RANGE AS ELEC or CD AS DMG/DTC,,,,,EFF/SLIDE/FIN/IMP/PUNC,,,"(NOTE: you do not want IMP or PUNC with the profit taker roll""CD AS DMG/DTC"")"
dakra prime,CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN,,,
dark dagger,CC/CD/IC/DMG or CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN,,,
dark split-sword,CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN/PUNC/IMP,,,
dark sword,CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN,,,
dehtat,CD AS RANGE or CD/RANGE AS ELEC or CD AS DMG/DTC,,,,,EFF/SLIDE/FIN/IMP/PUNC,,,"(NOTE: you do not want IMP or PUNC with the profit taker roll""CD AS DMG/DTC"")"
destreza,CD AS RANGE or CD/RANGE AS ELEC or CC/CD/IC/DMG,,,,,EFF/SLIDE/FIN/PUNC,,,
dex dakra,CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN,,,
dokrahm,CD AS RANGE or CD/RANGE AS ELEC/DMG,,,,,EFF/SLIDE/FIN/IMP/PUNC,,,
dorrclave,CD AS RANGE or CD/RANGE AS ELEC,,,,,SLIDE/FIN/EFF,,,
dragon nikana,CD AS RANGE or CD/RANGE AS ELEC or CC/CD/IC/DMG,,,,,SLIDE/FIN/EFF,,,
dual cleavers,CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN,,,
dual ether,CD AS RANGE or CD/RANGE AS ELEC or CC/CD/IC/DMG,,,,,EFF/SLIDE/FIN,,,
dual heat swords,CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN,,,
dual ichor,CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN,,,(NOTE: ELEC is for melee infuence)
dual kamas,CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN,,,
dual keres,CD AS RANGE or CD/RANGE AS ELEC,,,,,EFF/SLIDE/FIN/PUNC,,,
