WEAPON,POSITIVE STATS:,,,,NEGATIVE STATS:,,,Notes:
acceltra,CD MS/TOX/DMG/CC/FR,,,,IMP/ZOOM,,,
aeolak,CD MS/TOX/DMG/CC/FR/RLS,,,,IMP/PUNC/ZOOM/REC,,,"(NOTE: having 2 quality of life stats are good for use but don't sell well(RLS AND FR), if PUNC is enough to not proc it's worse.)"
afentis,CD MS/TOX/DMG/CC/FR,,,,ZOOM/REC/PUNC,,,
alternox,MS DMG/SC/TOX or CD MS/TOX/CC/DMG,,,,ZOOM/REC,,,
ambassador,CD MS/TOX/DMG/CC/FR,,,,ZOOM/REC,,,
amprex,CD MS/TOX/DMG/CC/FR,,,,ZOOM/REC,,,
arca plasmor,CD MS/DMG/CC/FR/RLS/TOX,,,,REC,,,
argonak,CD MS/TOX/DMG/CC/FR,,,,IMP/ZOOM/REC,,,
astilla,CD MS/TOX/DMG/CC/FR,,,,IMP/REC,,,
attica,CD MS/TOX/DMG/CC/FR/RLS,,,,PUNC/ZOOM/REC,,,(NOTE: negative PUNC hurts some if you can reliablly proc it because each stack of PUNC gives 5%CC each with max stack of 5)
ax-52,CD MS/TOX/DMG/CC/FR,,,,ZOOM/REC/PUNC,,,"(NOTE: negative PUNC hurts some if you can reliablly proc it because each stack of PUNC gives 5%CC each with max stack of 5, positive CC isn't as wanted for use because the zoom in function giving 100%CC on headshot)"
basmu,CD MS/TOX/DMG/CC/FR,,,,ZOOM/REC/AMMO,,,
battacor,CD MS/TOX/DMG/CC/FR,,,,PUNC/ZOOM/REC/IMP/SLASH,,,(NOTE: negative PUNC hurts some if you can reliablly proc it because each stack of PUNC gives 5%CC each with max stack of 5)
baza,CD MS/TOX/DMG/CC/FR,,,,IMP/PUNC/ZOOM,,,(NOTE: negative PUNC hurts some if you can reliablly proc it because each stack of PUNC gives 5%CC each with max stack of 5)
boar,CD MS/TOX/HEAT/PT/DMG/CC/FR or MS SC HEAT/FR,,,,IMP/REC,,,
boltor,CD MS/TOX/DMG/CC/FR/SC,,,,PUNC/ZOOM/REC,,,(NOTE: negative PUNC hurts some if you can reliablly proc it because each stack of PUNC gives 5%CC each with max stack of 5)
braton,CD MS/TOX/DMG/CC/FR,,,,PUNC/ZOOM/REC/IMP,,,(NOTE: negative PUNC hurts some if you can reliablly proc it because each stack of PUNC gives 5%CC each with max stack of 5)
bubonico,CD MS/DMG/CC/FR/ELEC,,,,PUNC/REC/IMP/AMMO,,,(NOTE: negative PUNC hurts some if you can reliablly proc it because each stack of PUNC gives 5%CC each with max stack of 5)
burston,CD MS/TOX/DMG/CC/FR,,,,PUNC/ZOOM/IMP/MAG,,,"(NOTE: negative PUNC hurts some if you can reliablly proc it because each stack of PUNC gives 5%CC each with max stack of 5, MAG on negative is only good with the incarnon evo)"
buzlok,CD MS/TOX/DMG/CC/FR,,,,PUNC/ZOOM/REC/IMP,,,(NOTE: negative PUNC hurts some if you can reliablly proc it because each stack of PUNC gives 5%CC each with max stack of 5)
cedo,TOX FR CD/MS or SC MS SD/PFS,,,,AMMO/REC/PUNC,,,"(NOTE: REC is high on this, -PUNC hurts damage but collectors still buy it)"
cernos,CD MS/TOX/CC/DMG/FR,,,,IMP/REC/MAG/ZOOM,,,(NOTE: negative IMP kills IB build)
cinta,CD MS FR/CC/DMG/TOX,,,,REC/ZOOM/MAG/PUNC,,,
coda bassocyst,CD MS FR/CC/PT/DMG,,,,REC,,,
convectrix,CD MS FR/CC/PT/DMG or MS CD/FR HEAT/ELEC,,,,REC/SLASH,,,(NOTE: negative SLASH only for builds with DOT elements)
corinth,CD MS/TOX/DMG/CC/FR/RLS,,,,IMP/PUNC/REC,,,(NOTE: negative PUNC hurts some if you can reliablly proc it because each stack of PUNC gives 5%CC each with max stack of 5)
daikyu,CD MS/TOX/CC/DMG/FR,,,,IMP/PUNC/REC/MAG/ZOOM,,,
dera,MS DMG/SC/TOX or CD MS/TOX/CC/DMG,,,,PUNC/ZOOM/REC,,,(NOTE: negative PUNC hurts some if you can reliablly proc it because each stack of PUNC gives 5%CC each with max stack of 5)
drakgoon,CD MS/TOX/CC/DMG/FR,,,,SLASH/REC,,,
dread,CD MS/TOX/CC/DMG/FR,,,,REC/MAG/ZOOM,,,
efv-5 jupiter,CD MS/TOX/CC/DMG/FR,,,,REC/ZOOM/PUNC/IMP,,,(NOTE: negative PUNC hurts some if you can reliablly proc it because each stack of PUNC gives 5%CC each with max stack of 5)
evensong,CD MS/TOX/CC/DMG/FR,,,,REC/ZOOM/MAG,,,
exergis,MS DMG/TOX/SC/MAG/PT/SLASH,,,,PUNC/REC/IMP,,,"(NOTE: the MAG must be >=50%, TOX is only for collectors)"
felarx,MS DMG/FR/TOX/SC,,,,PUNC/REC/CC,,,(NOTE: CC is only good if you're using the 5th evolution)
ferrox,DMG FR ELEMENT or CD MS/CC/DMG/FR/TOX,,,,PUNC/ZOOM/REC,,,(NOTE: negative PUNC hurts some if you can reliablly proc it because each stack of PUNC gives 5%CC each with max stack of 5)
